,date,default_code,name_prod,subcateg_name,st_in,st_out,st_last,order_qty,qty_delivered,selisih,progress_sum,stock-so
872,2021-12-08,BA205L,Shoe Porto BA 205L size 36-40 @40,Very Fast,4.0,2.0,2.06,0.0,0.0,0.0,44.0,-41.94
873,2021-12-08,AA004L-00,Shoe Porto AA 004L Black size 36-40 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
874,2021-12-08,E1031B,EVA Porto 1031B size 30-35 @72,Fast,35.0,50.0,6.0,5.0,17.0,-12.0,106.0,-100.0
875,2021-12-08,E3029L,EVA Porto 3029L size 36-40 @48,Fast,86.0,73.0,208.0,1.0,0.0,1.0,8.0,200.0
876,2021-12-08,BA201L,Shoe Porto BA 201L size 36-40 @40,Very Fast,0.0,0.0,0.03,9.0,0.0,9.0,125.0,-124.97
877,2021-12-08,E0602T,EVA Porto 602T size 19-24 @96,Medium,129.0,100.0,97.0,0.0,0.0,0.0,16.0,81.0
878,2021-12-08,E1034L,EVA Porto 1034L size 36-40 @72,Very Fast,69.0,95.0,15.0,5.0,12.0,-7.0,36.0,-21.0
879,2021-12-08,JANT-1,PortoLady ANT-1 size 37-40 @36,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
880,2021-12-08,E0711L,EVA Porto 711L size 36-40 @48,Fast,7.0,16.0,183.0,2.0,3.0,-1.0,50.0,133.0
881,2021-12-08,BA201B,Shoe Porto BA 201B size 31-35 @40,Very Fast,0.0,0.0,0.0,3.0,0.0,3.0,108.0,-108.0
882,2021-12-08,BA207L,Shoe Porto BA 207L size 36-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883,2021-12-08,E0602K,EVA Porto 602K size 24-29 @96,Fast,72.0,83.0,181.0,1.0,10.0,-9.0,4.0,177.0
884,2021-12-08,E-1023L-2,EVA Porto 1023L-2 size 36-40 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885,2021-12-08,EJPAX-B,Jellyshoes PortoLady PAX-B Black ,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886,2021-12-08,JDTA,PortoLady DTA size 36-40 @36,Very Fast,23.0,78.0,904.6,10.0,16.0,-6.0,41.0,863.6
887,2021-12-08,E1029M,EVA Porto 1029M size 39-44 @48,Fast,227.0,168.0,176.0,0.0,2.0,-2.0,56.0,120.0
888,2021-12-08,BB202L,Shoe Porto BB 202L size 36-40 @40,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
889,2021-12-08,E1041L,EVA Porto 1041L size 36-40 @72,Fast,0.0,0.0,20.0,2.0,0.0,2.0,139.0,-119.0
890,2021-12-08,AA007L-12,Shoe Porto AA 007L Pink size 36-40 @20,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
891,2021-12-08,JELA-3,PortoLady ELA-3 size 36-40 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
892,2021-12-08,BA207L-1,Shoe Porto BA 207L-1 Alas Hitam size 36-40 @40,Very Fast,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07
893,2021-12-08,JPAI-1,PortoLady PAI-1 size 36-40 @36,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
894,2021-12-08,JSOC,PortoLady SOC size 36-40 @36,Medium,20.0,30.0,81.0,8.0,8.0,0.0,23.0,58.0
895,2021-12-08,E1023B-1,EVA Porto 1023B-1 size 30-35 @72,Very Fast,31.0,39.0,327.0,2.0,26.0,-24.0,14.0,313.0
896,2021-12-08,JNEO,PortoLady NEO size 36-40 @36,Medium,72.0,35.0,58.0,20.0,1.0,19.0,31.0,27.0
897,2021-12-08,E1016M,EVA Porto 1016M size 39-44 @48,Very Fast,62.0,105.0,157.0,20.0,15.0,5.0,395.0,-238.0
898,2021-12-08,E1006T-120,EVA Porto 1006T-120 size 18-23 @120,Very Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899,2021-12-08,JSYS,PortoLady SYS size 36-40 @36,Medium,14.0,22.0,224.0,4.0,0.0,4.0,19.0,205.0
900,2021-12-08,AA003L,Shoe Porto AA 003L Mix size 36-40 @20,Very Fast,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0
901,2021-12-08,JELA-1,PortoLady ELA-1 size 36-40 @48,Fast,16.0,21.0,19.0,7.0,0.0,7.0,10.0,9.0
902,2021-12-08,E3028L,EVA Porto 3028L size 36-40 @48,Very Fast,0.0,0.0,149.0,0.0,0.0,0.0,0.0,149.0
903,2021-12-08,BA209L,Shoe Porto BA 209L size 36-40 @40,Very Fast,51.0,65.0,66.0,9.0,0.0,9.0,47.0,19.0
904,2021-12-08,E0605M,EVA Porto 605M size 39-44 @48,Very Fast,89.0,125.0,335.0,15.0,6.0,9.0,86.0,249.0
905,2021-12-08,BA202L-1,Shoe Porto BA 202L-1 size 36-40 @40,Very Fast,0.0,0.0,1.0,0.0,0.0,0.0,90.0,-89.0
906,2021-12-08,E1028M-2,EVA Porto 1028M-2 size 40-44 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,2021-12-08,E1037B-1,EVA Porto 1037B-1 size 30-35 @72,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
